The Samsung Galazy S3 is one of the best phones I've ever used. | pos: | 0.8
I absolutely love the phone and the photo quality it has. | pos: | 0.8
Delivery was very prompt. | pos: | 0.6
The picture of this TV was great! | pos: | 0.6
Very clear images so don't need to change my eye glass prescription after all. | neg: | 0.6
I would like to have or to see the reall case for that item. | pos: | 0.5
I don't like to use the cellphone without the case, especially the vertical one. | neg: | 0.5
and you should provide more accessories such as car charger, headphone etc. | pos: | 0.6
I love it except that it is too big for my small New York appartment. | neg: | 0.5
Ideal if you have space. | pos: | 0.8
first, this phone feels huge. | neg: | 0.5
I carry it in my pocket every day, but I wish it was half as thick. | neg: | 0.7
That said, I've had the phone for a little more than a year and it works perfectly. | pos: | 0.5
I've dropped it several times, left it in a hot car, etc and never had a problem. | neg: | 0.7
I did buy a second battery when I purchased the phone, and one of the two batteries died after about a year. | l: | 0.9
I just charge it every 36 hours or so and I've usually got plenty of power. | neg: | 0.6
I use the Java apps, I use their browser, mostly to check movies, and I use it with a short cable to connect to my iPaq. | neg: | 0.6
Everything works great. | pos: | 0.8
But it still feels like a brick -- I heard a comedian say that cell phones are the only thing men will brag about theirs being smaller. | neg: | 0.7
I have up front experience with this phone I is no good. | neg: | 0.5
Used to have a PDA in one pocket, a cell phone in the other with a pager on my belt and my mp3 playet in my top pocket. | l: | 0.7
In a word it sucked big time. | neg: | 0.7
This got it all into one device, and my monthly bill went to $60. | l: | 0.6
00. | l: | 0.6
40 for the phone and 20 for data on Tmobile. | l: | 0.9
Best thing I ever bought!!. | pos: | 0.8
I don't own this product yet but I've been checking LOT'S fo reviews and looking at alot of pictures. | neg: | 0.7
I've been comparing the SANYO at Amazon. | neg: | 0.7
com with a lot of other phones and I've noticed that there were some features that the SANYO 8100 is capable of when Amazon indicated that the phone was not able to do. | neg: | 0.7
Can anyone E-mail me at Data1880@aol. | neg: | 0.6
com and tell me where I can find the TRUE features for the SANYO 8100. | pos: | 0.5
Thanx. | l: | 0.6
I have read the Editorial Reviews, so I wan't to buy that phones. | neg: | 0.6
The phone is great but AT&T has to be the worst cell phone provider ever. | neg: | 0.8
There network has so many dead spots its not funny and not small ones either. | neg: | 0.7
I got better signal when i was roaming so what ever you do do not get at&t is a big disapointment!. | neg: | 0.7
I really want this phone! | neg: | 0.7
and it suits my schools rules for no picture phones!. | neg: | 0.6
I was hoping motorola would come out with a phone with an alarm clock with a simple snooze, not yet, still have to go through a 10 step process through the date book, common give me a break. | l: | 0.6
The screen is now in a 65k color display, but they have shrunk the screen so you can hardly see anything. | neg: | 0.5
The buttons are extremly bulky and don't interface well with the tiny buttons on the screen you can hardly see. | pos: | 0.6
I'm getting rid of Nextel all together because they definetly have the most unfriendly, non-functionability phones on the market. | neg: | 0.5
I tried to order the phone as well and getting declines from Amazon, even though I have excellent credit history and I'm an existing customer with Cingular. | pos: | 0.7
Does anybody know the number at Cingular where I can call and get an approval for Amazon's order?Thanks!. | pos: | 0.6
Can I find a mobile phone type Nokia 2300. | l: | 0.6
The latter has got a domestic radio feature. | l: | 0.8
Please answer back. | l: | 0.7
camera. | l: | 0.5
speaker phone. | l: | 0.7
stereo FM radio. | l: | 0.8
two places you can plug in headsets. | pos: | 0.7
can store 400 phone numbers. | l: | 0.8
email, internet. | l: | 0.8
a lot more. | pos: | 0.6
Don't even listening to other viewers' words. | neg: | 0.7
Go do your own research. | pos: | 0.6
it gets great signals. | pos: | 0.7
I had a samsung, i will not waste my money on that brand. | neg: | 0.8
Made in Korea, do they make good stuff? | pos: | 0.6
Go figure. | l: | 0.7
Nokia company is from enrope. | l: | 0.9
If you go to asia and europe, the majority of the cell phones you will see on the street is Nokia. | pos: | 0.6
Only stupid \"Bush controled\" the country use damn samsung and LG etc. | neg: | 0.8
Take a look at those who gave bad reviews,  they are from the midwest, southern states. | l: | 0.9
Freaking farmers and corn eater. | l: | 0.5
Just like those who voted for Bush. | neg: | 0.5
wake up \"brainwashed bush controled\" people. | l: | 0.7
Get out side the box. | l: | 0.8
This phone will automatically turn off during talking or ringing. | l: | 0.7
And the picture has problem also. | neg: | 0.5
I love this phone i had just lost my phone and is looking for a new one and this will be a good 1. | neg: | 0.7
I had to return the item because in the description it was not made clear that the phone was not compatable with Verizon's cellular network. | neg: | 0.7
I ended up buying the phone directly from verizon. | neg: | 0.7
at school some moron stole phone(nokia 3595) right out of my backpack in woodshop. | l: | 0.6
so after being yelled at by my parents i took my christmas money with my dad to the cingular store. | l: | 0.8
right away this cell phone was push on my dad. | l: | 0.6
with in a heart beat we came out with this phone. | l: | 0.9
first the reception sucks with this phone it has a low battery life and i feal like ill crush it but as far as a phone goes its okay. | neg: | 0.7
I think it is really cool,rad,etc! | neg: | 0.5
I must have one as soon as possible! | neg: | 0.5
Thank-you  M Price. | pos: | 0.6
I have really tried with this phone, I honestly have, but it's become a lost cause with time. | neg: | 0.7
Sure Windows Mobile is uber cool and tons of fun to use, let alone the ease, but the MPx200 fails at the one thing that is supposed to do best, being a phone. | neg: | 0.5
I purchased this phone unlocked on eBay in June '05 for about $117 with shipping. | neg: | 0.6
I also bought a 1. | pos: | 0.6
0 GB SD card for $60 around the same time ready to load it up and enjoy my new Windows Mobile phone. | l: | 0.6
I was shocked at how much better the phone looked in person. | neg: | 0.5
It's seriously the most beautiful layout I've ever seen. | pos: | 0.8
The black and blue layout are simply beautiful. | pos: | 0.6
Many of my friends and coworkers thought it was a Nextel. | pos: | 0.6
It sure is as durable as a Nextel. | pos: | 0.6
There is no way in hell this phone could break. | l: | 0.8
You can drop it from a 50 story building and it would probably just have a scratch. | neg: | 0.5
It's amazing the build quality that Motorola put into this phone, but it goes downhill when discussing the phone as a functional device. | neg: | 0.5
As a phone, it falls very short, especially in the area of battery life. | l: | 0.5
When I initially received the phone, I only charged it for 12 hours due to overexcitment, so I blame myself for not getting through the day without having to charge the phone, but after I bought my second battery and charged it the full term, I was surprised when the battery life didn't improve much. | l: | 0.7
Granted this is just using the phone as a phone, with the Infrared \"Beam\" feature turned off and all the other features either off or at the bare minimum, such as the backlight. | l: | 0.8
I honestly believe that I got much better battery life using the phone as a Video iPod than as a phone. | neg: | 0.6
The battery sipped away during use of Windows Media Player, with excellent sound quality I might add. | pos: | 0.6
On a normal phone call, I got an hour tops, before the battery was on its last bar, far short of the rated 4. | neg: | 0.7
25 hours. | l: | 0.7
Standby time is barely 24 hours. | l: | 0.6
Good luck trying to use call waiting, sometimes the phone just freezes up. | l: | 0.7
This is where the 200 MHz processor is shows its colors. | neg: | 0.6
Sometimes when the phone rings, you can hear the delay and the processor loading the rest of the ringtone. | l: | 0.8
Call quality was flawless, has always been, seeing that I'm with T-Mobile. | pos: | 0.7
No complaints there. | neg: | 0.6
I even got the T-Zones to work on my phone, after doing some research online and locating the settings. | l: | 0.7
This isn't for the tech juvenile. | neg: | 0.8
It can be tedious if you're not patient. | neg: | 0.6
I really love my phone, but it is just not practical. | neg: | 0.7
The other day I left my phone to charge seeing that the battery was on the last bar. | l: | 0.7
When I woke up the phone was dead on the charger. | l: | 0.7
This has happened to me a lot in the past few weeks, and I only charge my phone when the battery is completely dead so I don't know what's going on. | neg: | 0.8
I got so fed up with it that I took out the SIM card and put it back in my Motorola V60, which is in my opinion one of the best phones made, period. | pos: | 0.6
I just ordered another V60 seeing that I broke the antenna off the other one. | neg: | 0.7
It's so sad that all these new phones have all the bells and whistles you could ever want but don't carry out their primary function. | neg: | 0.6
I feel bad for the people who bought this phone through AT&T;/Cingular because the phone was dual band for them and Cingular runs on the 850/1900 frequency. | neg: | 0.8
My version was the triband 900/1800/1900, and worked fine with T-Mobile. | pos: | 0.5
I will still use it as my entertainment seeing that it synced with Windows Media Player on the PC flawlessly and the quality is great. | pos: | 0.8
I have compressed loads of videos to WMV format and enjoy them on a regular basis on my phone, but I will keep my V60 in my other pocket when the battery on my MPx200 dies. | neg: | 0.6
Ok look I have to Sell Cingular wireless Im the Anoying guy that calls you and trys to set you up with a plan and a phone. | l: | 0.6
FIRST things first, the most reliable network. | pos: | 0.6
The biggest joke in the world. | l: | 0.8
second your all getting ripped off on those phones The smasung is really only Worth 20$ but you guys are paying 49$ for itWe basically work like this, WE AT CINGULAR DO NOT LIE ABOUT THE SERVICE , WE CANT HELP THEY DIDNT ASK. | neg: | 0.8
me I have T mobile Its the best. | pos: | 0.6
SO DO NOT GET CINGULAR WIRELESS>>>>>>. | l: | 0.5
My review is on Cingular. | l: | 0.5
I bought a phone w/service and was told I could return for full refund and only charged for any air time used. | neg: | 0.6
THEY LIE. | l: | 0.8
THE PHONE DID NOT WORK IN MY AREA AND I CANCELLED THE NEXT DAY. | l: | 0.6
THEY ARE CHARGING ME FOR ACTIVATION even though it never worked in my area. | neg: | 0.7
If you are uncertain you will keep the phone and service, DON'T BUY from Cingular. | pos: | 0.6
Amazon will also do nothing to reimburse. | l: | 0.8
This is a good way to purchase the refill card from Japan. | pos: | 0.6
To using network-phone \"SKYPE\",I can re-charge a balance. | neg: | 0.6
